Model,is_Train,Accuracy,Precision,Recall,F1
LogReg,True,0.6995677233429395,0.5872242531500266,0.4581786730492534,0.4956611332489749
LogReg,False,0.6507204610951008,0.5203181974789767,0.38997863394463617,0.4223282633842456
SVM,True,0.6168587896253602,0.5327886419125949,0.2902784484921813,0.30399422033488627
SVM,False,0.5769452449567724,0.515631726568253,0.2750409316185175,0.28934467772933337
QDA,True,0.8123919308357349,0.4603721328983087,0.37529766708971757,0.35291219453835043
QDA,False,0.3043227665706052,0.09290194870518839,0.10180844510354503,0.07735931077998066
LDA,True,0.6893371757925072,0.5733877509605122,0.5534500157216911,0.5602624179041277
LDA,False,0.6720461095100865,0.5671304282567128,0.5167818184896182,0.5319211032256654
Decision Tree,True,0.6987031700288184,0.794648193668261,0.43718873638314704,0.49207209625008724
Decision Tree,False,0.42997118155619596,0.286247815718881,0.22551380596581366,0.23846694641998167
Random Forest,True,1.0,1.0,1.0,1.0
Random Forest,False,0.5412103746397694,0.49068752687111516,0.25244155302627314,0.26682169416064233
XGBoosting,True,0.8442363112391931,0.9028824032215705,0.8610887211330353,0.8805379225579384
XGBoosting,False,0.6657060518731989,0.6913772538062197,0.5173151550245502,0.5628515301942032
MLP,True,0.8142651296829971,0.8500589972777497,0.6701802730731607,0.7036843372887529
MLP,False,0.6512968299711815,0.5841338898638627,0.4736268332800201,0.508780638102813
